timestamp,connectionCount,pendingMessageCount,pendingMessageSize,inboundMessageCount,outboundMessageCount,outboundMessageRate,inboundMessageRate,producerCount,consumerCount,topicCount,queueCount,largeDestCount,msgMem,asyncDBSize,diskWriteRate,sessionCount,diskReadRate,syncDBSize,durableCount,outboundBytesRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,inboundBytesRate,routeRecoverCount,diskReadOperationsRate,msgMemPooled,RespTime
Tue Feb 18 21:26:08 201 CET 2020,3,0,0,135,134,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:26:38 204 CET 2020,3,0,0,138,137,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:27:08 208 CET 2020,3,0,0,141,140,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:27:38 211 CET 2020,3,0,0,144,143,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:28:08 214 CET 2020,3,0,0,147,146,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:28:38 218 CET 2020,3,0,0,150,149,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:29:08 220 CET 2020,3,0,0,153,152,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:29:38 221 CET 2020,3,0,0,156,155,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:30:08 224 CET 2020,3,0,0,159,158,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:30:38 226 CET 2020,3,0,0,162,161,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:31:08 228 CET 2020,3,0,0,165,164,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:31:38 230 CET 2020,3,0,0,168,167,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:32:08 232 CET 2020,3,0,0,171,170,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:32:38 234 CET 2020,3,0,0,174,173,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:33:08 237 CET 2020,3,0,0,177,176,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:33:38 239 CET 2020,3,0,0,180,179,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:34:08 243 CET 2020,3,0,0,183,182,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:34:38 246 CET 2020,3,0,0,186,185,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:35:08 249 CET 2020,3,0,0,189,188,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:35:38 254 CET 2020,3,0,0,192,191,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:36:08 256 CET 2020,3,0,0,195,194,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:36:38 260 CET 2020,3,0,0,198,197,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:37:08 264 CET 2020,3,0,0,201,200,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:37:38 266 CET 2020,3,0,0,206,205,0,0,2,4,9,9,-1,23248,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:38:08 269 CET 2020,4,0,0,212,210,2,2,3,4,9,9,-1,27947,3584,0,4,0,2048,0,876,0,2,2,393,0,0,53248,2
