timestamp,largeDestCount,connectionCount,pendingMessageCount,pendingMessageSize,inboundMessageRate,inboundMessageCount,outboundMessageRate,outboundMessageCount,queueCount,consumerCount,producerCount,topicCount,msgMem,diskReadRate,durableCount,diskWriteRate,sessionCount,asyncDBSize,syncDBSize,msgMemPooled,routeRecoverCount,adminConnectionCount,outboundBytesRate,inboundBytesRate,diskReadOperationsRate,clientConnectionCount,diskWriteOperationsRate,RespTime
Fri Aug 30 10:09:49 123 BST 2019,0,2,0,0,0,565,0,564,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:10:19 126 BST 2019,0,2,0,0,0,568,0,567,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:10:49 128 BST 2019,0,2,0,0,0,571,0,570,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:11:19 130 BST 2019,0,2,0,0,0,574,0,573,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:11:49 134 BST 2019,0,2,0,0,0,577,0,576,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:12:19 139 BST 2019,0,2,0,0,0,580,0,579,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:12:49 142 BST 2019,0,2,0,0,0,583,0,582,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:13:19 146 BST 2019,0,2,0,0,0,586,0,585,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:13:49 150 BST 2019,0,2,0,0,0,589,0,588,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:14:19 151 BST 2019,0,2,0,0,0,592,0,591,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:14:49 152 BST 2019,0,2,0,0,0,595,0,594,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:15:19 155 BST 2019,0,2,0,0,0,598,0,597,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:15:49 158 BST 2019,0,2,0,0,0,601,0,600,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:16:19 163 BST 2019,0,2,0,0,0,604,0,603,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:16:49 167 BST 2019,0,2,0,0,0,607,0,606,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:17:19 171 BST 2019,0,2,0,0,0,610,0,609,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:17:49 176 BST 2019,0,2,0,0,0,613,0,612,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:18:19 179 BST 2019,0,2,0,0,0,616,0,615,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:18:49 183 BST 2019,0,2,0,0,0,619,0,618,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:19:19 187 BST 2019,0,2,0,0,0,622,0,621,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:19:49 188 BST 2019,0,2,0,0,0,625,0,624,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:20:19 192 BST 2019,0,2,0,0,0,628,0,627,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:20:49 196 BST 2019,0,2,0,0,0,631,0,630,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:21:19 198 BST 2019,0,2,0,0,0,634,0,633,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:21:49 201 BST 2019,0,2,0,0,0,637,0,636,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:22:19 203 BST 2019,0,2,0,0,0,640,0,639,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:22:49 207 BST 2019,0,2,0,0,0,643,0,642,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:23:19 212 BST 2019,0,2,0,0,0,646,0,645,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:23:49 215 BST 2019,0,2,0,0,0,649,0,648,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
