timestamp,topicCount,consumerCount,queueCount,producerCount,sessionCount,connectionCount,durableCount,msgMem,diskReadRate,diskWriteRate,syncDBSize,asyncDBSize,pendingMessageCount,pendingMessageSize,outboundMessageCount,inboundMessageCount,inboundMessageRate,outboundMessageRate,routeRecoverCount,diskReadOperationsRate,outboundBytesRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,RespTime
Wed Feb 21 15:39:49 429 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2152,2153,0,0,0,0,0,0,0,53248,3
Wed Feb 21 15:40:19 432 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2154,2155,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:40:49 442 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2156,2157,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:41:19 457 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2158,2159,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:41:49 467 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2160,2161,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:42:19 481 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2162,2163,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:42:49 498 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2164,2165,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:43:19 508 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2166,2167,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:43:49 516 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2168,2169,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:44:19 529 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2170,2171,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:44:49 544 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2172,2173,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:45:19 551 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2174,2175,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:45:49 563 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2176,2177,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:46:19 575 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2178,2179,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:46:49 589 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2180,2181,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:47:19 594 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2182,2183,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:47:49 611 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2184,2185,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:48:19 618 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2186,2187,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:48:49 621 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2188,2189,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:49:19 633 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2190,2191,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:49:49 637 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2192,2193,0,0,0,0,0,0,0,53248,2
Wed Feb 21 15:50:19 641 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2194,2195,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:50:49 644 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2196,2197,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:51:19 673 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2198,2199,0,0,0,0,0,0,0,53248,9
Wed Feb 21 15:51:49 684 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2200,2201,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:52:19 695 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2202,2203,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:52:49 707 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2204,2205,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:53:19 710 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2206,2207,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:53:49 724 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2208,2209,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:54:19 734 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2210,2211,0,0,0,0,0,0,0,53248,2
Wed Feb 21 15:54:49 738 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2212,2213,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:55:19 741 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2214,2215,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:55:49 748 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2216,2217,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:56:19 758 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2218,2219,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:56:49 775 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2220,2221,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:57:19 781 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2222,2223,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:57:49 784 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2224,2225,0,0,0,0,0,0,0,53248,1
