timestamp,inboundMessageCount,pendingMessageCount,outboundMessageRate,pendingMessageSize,outboundMessageCount,inboundMessageRate,topicCount,queueCount,consumerCount,producerCount,sessionCount,asyncDBSize,diskReadRate,durableCount,msgMem,syncDBSize,connectionCount,diskWriteRate,routeRecoverCount,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,msgMemPooled,RespTime
Thu Feb 22 11:03:18 515 CST 2024,194,6,0,6574,193,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:03:48 524 CST 2024,197,6,0,6574,196,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:04:18 538 CST 2024,200,6,0,6574,199,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:04:48 551 CST 2024,203,6,0,6574,202,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:05:18 562 CST 2024,206,6,0,6574,205,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:05:48 577 CST 2024,209,6,0,6574,208,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:06:18 584 CST 2024,212,6,0,6574,211,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:06:48 587 CST 2024,215,6,0,6574,214,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:07:18 601 CST 2024,218,6,0,6574,217,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:07:48 605 CST 2024,221,6,0,6574,220,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:08:18 619 CST 2024,224,6,0,6574,223,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:08:48 630 CST 2024,227,6,0,6574,226,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:09:18 646 CST 2024,230,6,0,6574,229,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:09:48 675 CST 2024,233,6,0,6574,232,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,17
Thu Feb 22 11:10:18 678 CST 2024,236,6,0,6574,235,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:10:48 681 CST 2024,239,6,0,6574,238,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:11:18 686 CST 2024,242,6,0,6574,241,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:11:48 702 CST 2024,245,6,0,6574,244,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,5
Thu Feb 22 11:12:18 716 CST 2024,248,6,0,6574,247,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:12:48 723 CST 2024,251,6,0,6574,250,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:13:18 732 CST 2024,254,6,0,6574,253,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:13:48 736 CST 2024,257,6,0,6574,256,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:14:18 765 CST 2024,260,6,0,6574,259,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:14:48 771 CST 2024,263,6,0,6574,262,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:15:18 780 CST 2024,266,6,0,6574,265,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:15:48 794 CST 2024,269,6,0,6574,268,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:16:18 811 CST 2024,272,6,0,6574,271,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:16:48 829 CST 2024,275,6,0,6574,274,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
