timestamp,connectionCount,consumerCount,queueCount,topicCount,producerCount,outboundMessageRate,outboundMessageCount,pendingMessageSize,inboundMessageRate,pendingMessageCount,inboundMessageCount,msgMem,diskWriteRate,sessionCount,diskReadRate,asyncDBSize,durableCount,syncDBSize,msgMemPooled,inboundBytesRate,diskReadOperationsRate,routeRecoverCount,diskWriteOperationsRate,outboundBytesRate,RespTime
Mon Feb 12 16:21:02 596 CST 2024,3,4,9,7,2,0,179,0,0,0,180,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:21:32 617 CST 2024,3,4,9,7,2,0,182,0,0,0,183,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:22:02 642 CST 2024,3,4,9,7,2,0,185,0,0,0,186,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:22:32 656 CST 2024,3,4,9,7,2,0,188,0,0,0,189,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:23:02 676 CST 2024,3,4,9,7,2,0,191,0,0,0,192,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:23:32 687 CST 2024,3,4,9,7,2,0,194,0,0,0,195,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:24:02 739 CST 2024,3,4,9,7,2,0,197,0,0,0,198,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:24:32 745 CST 2024,3,4,9,7,2,0,200,0,0,0,201,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 16:25:02 759 CST 2024,3,4,9,7,2,0,203,0,0,0,204,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,7
Mon Feb 12 16:25:32 780 CST 2024,3,4,9,7,2,0,206,0,0,0,207,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 16:26:02 788 CST 2024,3,4,9,7,2,0,209,0,0,0,210,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:26:32 803 CST 2024,3,4,9,7,2,0,212,0,0,0,213,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 16:27:02 814 CST 2024,3,4,9,7,2,0,215,0,0,0,216,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:27:32 837 CST 2024,3,4,9,7,2,0,218,0,0,0,219,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:28:02 845 CST 2024,3,4,9,7,2,0,221,0,0,0,222,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:28:32 851 CST 2024,3,4,9,7,2,0,224,0,0,0,225,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:29:02 880 CST 2024,3,4,9,7,2,0,227,0,0,0,228,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 16:29:32 899 CST 2024,3,4,9,7,2,0,230,0,0,0,231,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,5
Mon Feb 12 16:30:02 922 CST 2024,3,4,9,7,2,0,233,0,0,0,234,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:30:32 937 CST 2024,3,4,9,7,2,0,236,0,0,0,237,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:31:02 945 CST 2024,3,4,9,7,2,0,239,0,0,0,240,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:31:32 959 CST 2024,3,4,9,7,2,0,242,0,0,0,243,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:32:02 973 CST 2024,3,4,9,7,2,0,245,0,0,0,246,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:32:32 988 CST 2024,3,4,9,7,2,0,248,0,0,0,249,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 16:33:03 000 CST 2024,3,4,9,7,2,0,251,0,0,0,252,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:33:33 015 CST 2024,3,4,9,7,2,0,254,0,0,0,255,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:34:03 077 CST 2024,3,4,9,7,2,0,257,0,0,0,258,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:34:33 083 CST 2024,3,4,9,7,2,0,260,0,0,0,261,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:35:03 134 CST 2024,3,4,9,7,2,0,263,0,0,0,264,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:35:33 141 CST 2024,3,4,9,7,2,0,266,0,0,0,267,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
