timestamp,consumerCount,queueCount,topicCount,producerCount,inboundMessageCount,outboundMessageRate,pendingMessageSize,pendingMessageCount,inboundMessageRate,outboundMessageCount,sessionCount,msgMem,diskWriteRate,connectionCount,durableCount,asyncDBSize,diskReadRate,syncDBSize,msgMemPooled,inboundBytesRate,outboundBytesRate,diskWriteOperationsRate,diskReadOperationsRate,routeRecoverCount,RespTime
Tue Feb 20 10:04:12 020 CST 2024,3,8,8,1,118,0,6574,6,0,117,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:04:42 030 CST 2024,3,8,8,1,120,0,6574,6,0,119,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:05:12 043 CST 2024,3,8,8,1,122,0,6574,6,0,121,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:05:42 061 CST 2024,3,8,8,1,124,0,6574,6,0,123,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:06:12 073 CST 2024,3,8,8,1,126,0,6574,6,0,125,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,7
Tue Feb 20 10:06:42 109 CST 2024,3,8,8,1,128,0,6574,6,0,127,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:07:12 116 CST 2024,3,8,8,1,130,0,6574,6,0,129,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:07:42 123 CST 2024,3,8,8,1,132,0,6574,6,0,131,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:08:12 138 CST 2024,3,8,8,1,134,0,6574,6,0,133,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:08:42 152 CST 2024,3,8,8,1,136,0,6574,6,0,135,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:09:12 168 CST 2024,3,8,8,1,138,0,6574,6,0,137,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:09:42 183 CST 2024,3,8,8,1,140,0,6574,6,0,139,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:10:12 196 CST 2024,3,8,8,1,142,0,6574,6,0,141,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:10:42 206 CST 2024,3,8,8,1,144,0,6574,6,0,143,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:11:12 211 CST 2024,3,8,8,1,146,0,6574,6,0,145,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:11:42 215 CST 2024,3,8,8,1,148,0,6574,6,0,147,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:12:12 225 CST 2024,3,8,8,1,150,0,6574,6,0,149,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:12:42 232 CST 2024,3,8,8,1,152,0,6574,6,0,151,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:13:12 250 CST 2024,3,8,8,1,154,0,6574,6,0,153,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:13:42 266 CST 2024,3,8,8,1,156,0,6574,6,0,155,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:14:12 275 CST 2024,3,8,8,1,158,0,6574,6,0,157,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:14:42 283 CST 2024,3,8,8,1,160,0,6574,6,0,159,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,7
Tue Feb 20 10:15:12 300 CST 2024,3,8,8,1,162,0,6574,6,0,161,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:15:42 323 CST 2024,3,8,8,1,164,0,6574,6,0,163,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,6
Tue Feb 20 10:16:12 330 CST 2024,3,8,8,1,166,0,6574,6,0,165,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:16:42 331 CST 2024,3,8,8,1,168,0,6574,6,0,167,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:17:12 343 CST 2024,3,8,8,1,170,0,6574,6,0,169,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:17:42 356 CST 2024,3,8,8,1,172,0,6574,6,0,171,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:18:12 363 CST 2024,3,8,8,1,174,0,6574,6,0,173,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:18:42 373 CST 2024,3,8,8,1,176,0,6574,6,0,175,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:19:12 388 CST 2024,3,8,8,1,178,0,6574,6,0,177,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,6
Tue Feb 20 10:19:42 392 CST 2024,3,8,8,1,180,0,6574,6,0,179,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:20:12 404 CST 2024,3,8,8,1,182,0,6574,6,0,181,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:20:42 426 CST 2024,3,8,8,1,184,0,6574,6,0,183,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:21:12 433 CST 2024,3,8,8,1,186,0,6574,6,0,185,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:21:42 445 CST 2024,3,8,8,1,188,0,6574,6,0,187,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:22:12 455 CST 2024,3,8,8,1,190,0,6574,6,0,189,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:22:42 470 CST 2024,3,8,8,1,192,0,6574,6,0,191,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:23:12 490 CST 2024,3,8,8,1,194,0,6574,6,0,193,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:23:42 502 CST 2024,3,8,8,1,196,0,6574,6,0,195,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:24:12 513 CST 2024,3,8,8,1,198,0,6574,6,0,197,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:24:42 525 CST 2024,3,8,8,1,200,0,6574,6,0,199,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:25:12 543 CST 2024,3,8,8,1,202,0,6574,6,0,201,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:25:42 548 CST 2024,3,8,8,1,204,0,6574,6,0,203,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:26:12 556 CST 2024,3,8,8,1,206,0,6574,6,0,205,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:26:42 571 CST 2024,3,8,8,1,208,0,6574,6,0,207,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:27:12 581 CST 2024,3,8,8,1,210,0,6574,6,0,209,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:27:42 591 CST 2024,3,8,8,1,212,0,6574,6,0,211,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:28:12 604 CST 2024,3,8,8,1,214,0,6574,6,0,213,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:28:42 617 CST 2024,3,8,8,1,216,0,6574,6,0,215,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:29:12 626 CST 2024,3,8,8,1,218,0,6574,6,0,217,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 10:29:42 645 CST 2024,3,8,8,1,220,0,6574,6,0,219,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:30:12 654 CST 2024,3,8,8,1,222,0,6574,6,0,221,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,6
Tue Feb 20 10:30:42 671 CST 2024,3,8,8,1,224,0,6574,6,0,223,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:31:12 681 CST 2024,3,8,8,1,226,0,6574,6,0,225,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:31:42 685 CST 2024,3,8,8,1,228,0,6574,6,0,227,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,0
Tue Feb 20 10:32:12 694 CST 2024,3,8,8,1,230,0,6574,6,0,229,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:32:42 706 CST 2024,3,8,8,1,232,0,6574,6,0,231,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:33:12 714 CST 2024,3,8,8,1,234,0,6574,6,0,233,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:33:42 724 CST 2024,3,8,8,1,236,0,6574,6,0,235,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:34:12 739 CST 2024,3,8,8,1,238,0,6574,6,0,237,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:34:42 752 CST 2024,3,8,8,1,240,0,6574,6,0,239,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:35:12 762 CST 2024,3,8,8,1,242,0,6574,6,0,241,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,7
Tue Feb 20 10:35:42 767 CST 2024,3,8,8,1,244,0,6574,6,0,243,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:36:12 775 CST 2024,3,8,8,1,246,0,6574,6,0,245,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:36:42 793 CST 2024,3,8,8,1,248,0,6574,6,0,247,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:37:12 809 CST 2024,3,8,8,1,250,0,6574,6,0,249,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 10:37:42 822 CST 2024,3,8,8,1,252,0,6574,6,0,251,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:38:12 828 CST 2024,3,8,8,1,254,0,6574,6,0,253,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:38:42 848 CST 2024,3,8,8,1,256,0,6574,6,0,255,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,6
Tue Feb 20 10:39:12 857 CST 2024,3,8,8,1,258,0,6574,6,0,257,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:39:42 907 CST 2024,3,8,8,1,260,0,6574,6,0,259,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 10:40:12 915 CST 2024,3,8,8,1,262,0,6574,6,0,261,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:40:42 921 CST 2024,3,8,8,1,264,0,6574,6,0,263,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:41:12 926 CST 2024,3,8,8,1,266,0,6574,6,0,265,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:41:42 945 CST 2024,3,8,8,1,268,0,6574,6,0,267,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:42:12 959 CST 2024,3,8,8,1,270,0,6574,6,0,269,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 10:42:42 967 CST 2024,3,8,8,1,272,0,6574,6,0,271,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:43:12 978 CST 2024,3,8,8,1,274,0,6574,6,0,273,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 10:43:42 995 CST 2024,3,8,8,1,276,0,6574,6,0,275,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:44:13 003 CST 2024,3,8,8,1,278,0,6574,6,0,277,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:44:43 014 CST 2024,3,8,8,1,280,0,6574,6,0,279,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:45:13 016 CST 2024,3,8,8,1,282,0,6574,6,0,281,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:45:43 036 CST 2024,3,8,8,1,284,0,6574,6,0,283,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:46:13 042 CST 2024,3,8,8,1,286,0,6574,6,0,285,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:46:43 048 CST 2024,3,8,8,1,288,0,6574,6,0,287,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:47:13 062 CST 2024,3,8,8,1,290,0,6574,6,0,289,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:47:43 079 CST 2024,3,8,8,1,292,0,6574,6,0,291,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:48:13 085 CST 2024,3,8,8,1,294,0,6574,6,0,293,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:48:43 096 CST 2024,3,8,8,1,296,0,6574,6,0,295,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:49:13 111 CST 2024,3,8,8,1,298,0,6574,6,0,297,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:49:43 130 CST 2024,3,8,8,1,300,0,6574,6,0,299,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:50:13 147 CST 2024,3,8,8,1,302,0,6574,6,0,301,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:50:43 157 CST 2024,3,8,8,1,304,0,6574,6,0,303,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:51:13 169 CST 2024,3,8,8,1,306,0,6574,6,0,305,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:51:43 191 CST 2024,3,8,8,1,308,0,6574,6,0,307,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,6
Tue Feb 20 10:52:13 200 CST 2024,3,8,8,1,310,0,6574,6,0,309,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:52:43 217 CST 2024,3,8,8,1,312,0,6574,6,0,311,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:53:13 230 CST 2024,3,8,8,1,314,0,6574,6,0,313,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 10:53:43 246 CST 2024,3,8,8,1,316,0,6574,6,0,315,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:54:13 257 CST 2024,3,8,8,1,318,0,6574,6,0,317,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 10:54:43 273 CST 2024,3,8,8,1,320,0,6574,6,0,319,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,2
Tue Feb 20 10:55:13 289 CST 2024,3,8,8,1,322,0,6574,6,0,321,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:55:43 301 CST 2024,3,8,8,1,324,0,6574,6,0,323,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,0
Tue Feb 20 10:56:13 315 CST 2024,3,8,8,1,326,0,6574,6,0,325,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:56:43 325 CST 2024,3,8,8,1,328,0,6574,6,0,327,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:57:13 330 CST 2024,3,8,8,1,330,0,6574,6,0,329,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
Tue Feb 20 10:57:43 348 CST 2024,3,8,8,1,332,0,6574,6,0,331,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:58:13 364 CST 2024,3,8,8,1,334,0,6574,6,0,333,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:58:43 387 CST 2024,3,8,8,1,336,0,6574,6,0,335,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,3
Tue Feb 20 10:59:13 398 CST 2024,3,8,8,1,338,0,6574,6,0,337,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 10:59:43 418 CST 2024,3,8,8,1,340,0,6574,6,0,339,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,5
Tue Feb 20 11:00:13 441 CST 2024,3,8,8,1,342,0,6574,6,0,341,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,4
Tue Feb 20 11:00:43 445 CST 2024,3,8,8,1,344,0,6574,6,0,343,2,19165,0,2,3,36352,0,1536,53248,0,0,0,0,0,1
