timestamp,pendingMessageCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,consumerCount,producerCount,queueCount,topicCount,connectionCount,sessionCount,durableCount,diskWriteRate,diskReadRate,syncDBSize,asyncDBSize,msgMem,msgMemPooled,diskWriteOperationsRate,inboundBytesRate,diskReadOperationsRate,outboundBytesRate,routeRecoverCount,RespTime
Fri Feb 16 12:06:52 211 CST 2024,6,6574,213,0,212,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:07:22 222 CST 2024,6,6574,216,0,215,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:07:52 231 CST 2024,6,6574,219,0,218,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:08:22 236 CST 2024,6,6574,222,0,221,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:08:52 252 CST 2024,6,6574,225,0,224,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:09:22 274 CST 2024,6,6574,228,0,227,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,7
Fri Feb 16 12:09:52 281 CST 2024,6,6574,231,0,230,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:10:22 287 CST 2024,6,6574,234,0,233,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:10:52 291 CST 2024,6,6574,237,0,236,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:11:22 304 CST 2024,6,6574,240,0,239,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:11:52 321 CST 2024,6,6574,243,0,242,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:12:22 341 CST 2024,6,6574,246,0,245,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:12:52 350 CST 2024,6,6574,249,0,248,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:13:22 356 CST 2024,6,6574,252,0,251,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:13:52 360 CST 2024,6,6574,255,0,254,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:14:22 370 CST 2024,6,6574,258,0,257,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:14:52 378 CST 2024,6,6574,261,0,260,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:15:22 391 CST 2024,6,6574,264,0,263,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:15:52 409 CST 2024,6,6574,267,0,266,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:16:22 429 CST 2024,6,6574,270,0,269,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,5
Fri Feb 16 12:16:52 440 CST 2024,6,6574,273,0,272,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,4
Fri Feb 16 12:17:22 447 CST 2024,6,6574,276,0,275,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:17:52 467 CST 2024,6,6574,279,0,278,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:18:22 475 CST 2024,6,6574,282,0,281,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:18:52 489 CST 2024,6,6574,285,0,284,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,9
Fri Feb 16 12:19:22 509 CST 2024,6,6574,288,0,287,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:19:52 521 CST 2024,6,6574,291,0,290,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:20:22 529 CST 2024,6,6574,294,0,293,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:20:52 543 CST 2024,6,6574,297,0,296,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,4
Fri Feb 16 12:21:22 564 CST 2024,6,6574,300,0,299,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,7
Fri Feb 16 12:21:52 584 CST 2024,6,6574,303,0,302,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,4
Fri Feb 16 12:22:22 605 CST 2024,6,6574,306,0,305,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:22:52 613 CST 2024,6,6574,309,0,308,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:23:22 621 CST 2024,6,6574,312,0,311,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:23:52 635 CST 2024,6,6574,315,0,314,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:24:22 645 CST 2024,6,6574,318,0,317,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:24:52 650 CST 2024,6,6574,321,0,320,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:25:22 667 CST 2024,6,6574,324,0,323,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:25:52 687 CST 2024,6,6574,327,0,326,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:26:22 700 CST 2024,6,6574,330,0,329,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:26:52 717 CST 2024,6,6574,333,0,332,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:27:22 741 CST 2024,6,6574,336,0,335,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,8
Fri Feb 16 12:27:52 752 CST 2024,6,6574,339,0,338,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:28:22 758 CST 2024,6,6574,342,0,341,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:28:52 774 CST 2024,6,6574,345,0,344,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:29:22 779 CST 2024,6,6574,348,0,347,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:29:52 788 CST 2024,6,6574,351,0,350,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:30:22 792 CST 2024,6,6574,354,0,353,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:30:52 811 CST 2024,6,6574,357,0,356,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:31:22 831 CST 2024,6,6574,360,0,359,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:31:52 840 CST 2024,6,6574,363,0,362,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:32:22 854 CST 2024,6,6574,366,0,365,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:32:52 870 CST 2024,6,6574,369,0,368,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:33:22 879 CST 2024,6,6574,372,0,371,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:33:52 887 CST 2024,6,6574,375,0,374,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:34:22 902 CST 2024,6,6574,378,0,377,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:34:52 910 CST 2024,6,6574,381,0,380,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:35:22 926 CST 2024,6,6574,384,0,383,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:35:52 943 CST 2024,6,6574,387,0,386,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:36:22 950 CST 2024,6,6574,390,0,389,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:36:53 035 CST 2024,6,6574,393,0,392,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:37:23 074 CST 2024,6,6574,396,0,395,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,8
Fri Feb 16 12:37:53 119 CST 2024,6,6574,399,0,398,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:38:23 126 CST 2024,6,6574,402,0,401,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:38:53 148 CST 2024,6,6574,405,0,404,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:39:23 156 CST 2024,6,6574,408,0,407,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:39:53 165 CST 2024,6,6574,411,0,410,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:40:23 175 CST 2024,6,6574,414,0,413,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:40:53 191 CST 2024,6,6574,417,0,416,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:41:23 215 CST 2024,6,6574,420,0,419,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:41:53 225 CST 2024,6,6574,423,0,422,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:42:23 236 CST 2024,6,6574,426,0,425,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:42:53 253 CST 2024,6,6574,429,0,428,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:43:23 261 CST 2024,6,6574,432,0,431,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
