timestamp,durableCount,diskReadRate,msgMem,sessionCount,syncDBSize,asyncDBSize,diskWriteRate,topicCount,consumerCount,producerCount,queueCount,pendingMessageCount,largeDestCount,connectionCount,inboundMessageCount,pendingMessageSize,outboundMessageRate,outboundMessageCount,inboundMessageRate,msgMemPooled,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,routeRecoverCount,RespTime
Mon Sep 02 12:14:56 370 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,810,0,0,809,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:15:26 372 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,813,0,0,812,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:15:56 374 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,816,0,0,815,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:16:26 378 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,828,0,1,827,1,53248,235,4323,0,0,-1,-1,0,2
Mon Sep 02 12:16:56 382 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,833,0,0,832,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:17:26 387 BST 2019,0,0,18357,3,1536,4096,1022,5,2,1,9,0,0,2,837,0,0,836,0,53248,0,0,0,1,-1,-1,0,3
Mon Sep 02 12:17:56 389 BST 2019,0,0,18357,3,1536,4096,0,5,2,1,9,0,0,2,840,0,0,839,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:18:26 394 BST 2019,0,0,18357,3,1536,4096,0,5,2,1,9,0,0,2,843,0,0,842,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:18:56 403 BST 2019,0,0,18522,3,1536,4608,1280,5,2,1,9,0,0,2,848,0,1,847,1,53248,117,117,0,2,-1,-1,0,8
Mon Sep 02 12:19:26 405 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,853,0,0,852,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:19:56 406 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,856,0,0,855,0,53248,0,0,0,0,-1,-1,0,0
